STATUS,TABLE,FIELD,CHECK,CATEGORY,SUBCATEGORY,LEVEL,NOTES,DESCRIPTION,% RECORDS
PASS,OBSERVATION,UNIT_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the UNIT_SOURCE_VALUE of the OBSERVATION. (Threshold=100%).,100.00%
PASS,OBSERVATION,VALUE_AS_NUMBER,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VALUE_AS_NUMBER of the OBSERVATION. (Threshold=100%).,100.00%
PASS,OBSERVATION,VALUE_AS_STRING,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VALUE_AS_STRING of the OBSERVATION. (Threshold=100%).,100.00%
PASS,PERSON,CARE_SITE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CARE_SITE_ID of the PERSON. (Threshold=100%).,100.00%
PASS,PERSON,LOCATION_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the LOCATION_ID of the PERSON. (Threshold=100%).,100.00%
PASS,PERSON,PROVIDER_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the PROVIDER_ID of the PERSON. (Threshold=100%).,100.00%
PASS,PROCEDURE_OCCURRENCE,MODIFIER_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the MODIFIER_SOURCE_VALUE of the PROCEDURE_OCCURRENCE. (Threshold=100%).,100.00%
PASS,PROCEDURE_OCCURRENCE,QUANTITY,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the QUANTITY of the PROCEDURE_OCCURRENCE. (Threshold=100%).,100.00%
PASS,PROVIDER,CARE_SITE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CARE_SITE_ID of the PROVIDER. (Threshold=100%).,100.00%
PASS,PROVIDER,DEA,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the DEA of the PROVIDER. (Threshold=100%).,100.00%
PASS,PROVIDER,NPI,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the NPI of the PROVIDER. (Threshold=100%).,100.00%
PASS,PROVIDER,YEAR_OF_BIRTH,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the YEAR_OF_BIRTH of the PROVIDER. (Threshold=100%).,100.00%
PASS,VISIT_DETAIL,ADMITTED_FROM_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the ADMITTED_FROM_SOURCE_VALUE of the VISIT_DETAIL. (Threshold=100%).,100.00%
PASS,VISIT_DETAIL,CARE_SITE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CARE_SITE_ID of the VISIT_DETAIL. (Threshold=100%).,100.00%
PASS,VISIT_DETAIL,DISCHARGED_TO_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the DISCHARGED_TO_SOURCE_VALUE of the VISIT_DETAIL. (Threshold=100%).,100.00%
PASS,VISIT_DETAIL,PARENT_VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the PARENT_VISIT_DETAIL_ID of the VISIT_DETAIL. (Threshold=100%).,100.00%
PASS,VISIT_OCCURRENCE,ADMITTED_FROM_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the ADMITTED_FROM_SOURCE_VALUE of the VISIT_OCCURRENCE. (Threshold=100%).,100.00%
PASS,VISIT_OCCURRENCE,CARE_SITE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CARE_SITE_ID of the VISIT_OCCURRENCE. (Threshold=100%).,100.00%
PASS,VISIT_OCCURRENCE,DISCHARGED_TO_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the DISCHARGED_TO_SOURCE_VALUE of the VISIT_OCCURRENCE. (Threshold=100%).,100.00%
PASS,CARE_SITE,PLACE_OF_SERVICE_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field PLACE_OF_SERVICE_CONCEPT_ID in the CARE_SITE table. (Threshold=100%).,100.00%
FAIL,CONDITION_OCCURRENCE,CONDITION_STATUS_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field CONDITION_STATUS_CONCEPT_ID in the CONDITION_OCCURRENCE table. (Threshold=5%).,100.00%
PASS,DRUG_EXPOSURE,ROUTE_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field ROUTE_CONCEPT_ID in the DRUG_EXPOSURE table. (Threshold=100%).,100.00%
FAIL,OBSERVATION,UNIT_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the OBSERVATION table. (Threshold=5%).,100.00%
PASS,PROCEDURE_OCCURRENCE,MODIFIER_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field MODIFIER_CONCEPT_ID in the PROCEDURE_OCCURRENCE table. (Threshold=100%).,100.00%
FAIL,VISIT_DETAIL,ADMITTED_FROM_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field ADMITTED_FROM_CONCEPT_ID in the VISIT_DETAIL table. (Threshold=5%).,100.00%
FAIL,VISIT_DETAIL,DISCHARGED_TO_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field DISCHARGED_TO_CONCEPT_ID in the VISIT_DETAIL table. (Threshold=5%).,100.00%
FAIL,VISIT_OCCURRENCE,ADMITTED_FROM_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field ADMITTED_FROM_CONCEPT_ID in the VISIT_OCCURRENCE table. (Threshold=5%).,100.00%
FAIL,VISIT_OCCURRENCE,DISCHARGED_TO_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field DISCHARGED_TO_CONCEPT_ID in the VISIT_OCCURRENCE table. (Threshold=5%).,100.00%
NOT APPLICABLE,MEASUREMENT,UNIT_SOURCE_CONCEPT_ID,sourceConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the source concept field UNIT_SOURCE_CONCEPT_ID in the MEASUREMENT table. (Threshold=100%).,100.00%
PASS,VISIT_DETAIL,VISIT_DETAIL_SOURCE_CONCEPT_ID,sourceConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the source concept field VISIT_DETAIL_SOURCE_CONCEPT_ID in the VISIT_DETAIL table. (Threshold=100%).,100.00%
PASS,VISIT_OCCURRENCE,VISIT_SOURCE_CONCEPT_ID,sourceConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the source concept field VISIT_SOURCE_CONCEPT_ID in the VISIT_OCCURRENCE table. (Threshold=100%).,100.00%
NOT APPLICABLE,CONDITION_OCCURRENCE,CONDITION_STATUS_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the CONDITION_STATUS_SOURCE_VALUE field of the CONDITION_OCCURRENCE table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,DRUG_EXPOSURE,ROUTE_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the ROUTE_SOURCE_VALUE field of the DRUG_EXPOSURE table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,OBSERVATION,QUALIFIER_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the QUALIFIER_SOURCE_VALUE field of the OBSERVATION table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,OBSERVATION,UNIT_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the UNIT_SOURCE_VALUE field of the OBSERVATION table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,PROCEDURE_OCCURRENCE,MODIFIER_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the MODIFIER_SOURCE_VALUE field of the PROCEDURE_OCCURRENCE table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,VISIT_DETAIL,ADMITTED_FROM_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the ADMITTED_FROM_SOURCE_VALUE field of the VISIT_DETAIL table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,VISIT_DETAIL,DISCHARGED_TO_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the DISCHARGED_TO_SOURCE_VALUE field of the VISIT_DETAIL table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,VISIT_OCCURRENCE,ADMITTED_FROM_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the ADMITTED_FROM_SOURCE_VALUE field of the VISIT_OCCURRENCE table mapped to 0. (Threshold=100%).,100.00%
NOT APPLICABLE,VISIT_OCCURRENCE,DISCHARGED_TO_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the DISCHARGED_TO_SOURCE_VALUE field of the VISIT_OCCURRENCE table mapped to 0. (Threshold=100%).,100.00%
FAIL,DRUG_EXPOSURE,QUANTITY,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the QUANTITY field of the DRUG_EXPOSURE table less than 0.0000001. (Threshold=1%).,100.00%
FAIL,OBSERVATION,OBSERVATION_TYPE_CONCEPT_ID,isStandardValidConcept,Conformance,Value,FIELD,None,"The number and percent of records that do not have a standard, valid concept in the OBSERVATION_TYPE_CONCEPT_ID field in the OBSERVATION table. (Threshold=0%).",99.66%
PASS,DRUG_STRENGTH,INVALID_REASON,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the INVALID_REASON of the DRUG_STRENGTH. (Threshold=100%).,99.36%
PASS,DEATH,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the DEATH table (Threshold=100%).,81.84%
FAIL,PERSON,RACE_CONCEPT_ID,isForeignKey,Conformance,Relational,FIELD,None,The number and percent of records that have a value in the RACE_CONCEPT_ID field in the PERSON table that does not exist in the CONCEPT table. (Threshold=0%).,77.28%
PASS,PERSON,RACE_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the RACE_SOURCE_VALUE field of the PERSON table mapped to 0. (Threshold=100%).,50.00%
PASS,CONDITION_OCCURRENCE,CONDITION_END_DATE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CONDITION_END_DATE of the CONDITION_OCCURRENCE. (Threshold=100%).,47.02%
PASS,CONDITION_OCCURRENCE,CONDITION_END_DATETIME,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the CONDITION_END_DATETIME of the CONDITION_OCCURRENCE. (Threshold=100%).,47.02%
PASS,DEVICE_EXPOSURE,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the DEVICE_EXPOSURE table (Threshold=100%).,46.56%
PASS,DEVICE_EXPOSURE,DEVICE_EXPOSURE_END_DATE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the DEVICE_EXPOSURE_END_DATE of the DEVICE_EXPOSURE. (Threshold=100%).,42.62%
PASS,DEVICE_EXPOSURE,DEVICE_EXPOSURE_END_DATETIME,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the DEVICE_EXPOSURE_END_DATETIME of the DEVICE_EXPOSURE. (Threshold=100%).,42.62%
FAIL,MEASUREMENT,UNIT_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field UNIT_CONCEPT_ID in the MEASUREMENT table. (Threshold=5%).,37.16%
PASS,MEASUREMENT,UNIT_SOURCE_VALUE,sourceValueCompleteness,Completeness,None,FIELD,None,The number and percent of distinct source values in the UNIT_SOURCE_VALUE field of the MEASUREMENT table mapped to 0. (Threshold=100%).,34.04%
FAIL,DRUG_EXPOSURE,DAYS_SUPPLY,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the DAYS_SUPPLY field of the DRUG_EXPOSURE table less than 1. (Threshold=1%).,31.74%
PASS,OBSERVATION,VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_DETAIL_ID of the OBSERVATION. (Threshold=100%).,26.88%
PASS,OBSERVATION,VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_OCCURRENCE_ID of the OBSERVATION. (Threshold=100%).,26.88%
PASS,MEASUREMENT,VALUE_AS_NUMBER,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VALUE_AS_NUMBER of the MEASUREMENT. (Threshold=100%).,25.06%
PASS,DEVICE_EXPOSURE,VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_DETAIL_ID of the DEVICE_EXPOSURE. (Threshold=100%).,24.27%
PASS,DEVICE_EXPOSURE,VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_OCCURRENCE_ID of the DEVICE_EXPOSURE. (Threshold=100%).,24.27%
PASS,DRUG_EXPOSURE,VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_DETAIL_ID of the DRUG_EXPOSURE. (Threshold=100%).,22.95%
PASS,DRUG_EXPOSURE,VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_OCCURRENCE_ID of the DRUG_EXPOSURE. (Threshold=100%).,22.95%
PASS,PERSON,RACE_CONCEPT_ID,standardConceptRecordCompleteness,Completeness,None,FIELD,None,The number and percent of records with a value of 0 in the standard concept field RACE_CONCEPT_ID in the PERSON table. (Threshold=100%).,22.72%
PASS,MEASUREMENT,VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_DETAIL_ID of the MEASUREMENT. (Threshold=100%).,20.98%
PASS,MEASUREMENT,VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_OCCURRENCE_ID of the MEASUREMENT. (Threshold=100%).,20.98%
PASS,PROCEDURE_OCCURRENCE,VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_DETAIL_ID of the PROCEDURE_OCCURRENCE. (Threshold=100%).,12.96%
PASS,PROCEDURE_OCCURRENCE,VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_OCCURRENCE_ID of the PROCEDURE_OCCURRENCE. (Threshold=100%).,12.96%
FAIL,OBSERVATION_PERIOD,OBSERVATION_PERIOD_START_DATE,plausibleTemporalAfter,Plausibility,Temporal,FIELD,None,The number and percent of records with a value in the OBSERVATION_PERIOD_START_DATE field of the OBSERVATION_PERIOD that occurs prior to the date in the BIRTH_DATETIME field of the PERSON table. (Threshold=1%).,12.00%
FAIL,OBSERVATION_PERIOD,OBSERVATION_PERIOD_START_DATE,plausibleAfterBirth,Plausibility,Temporal,FIELD,None,The number and percent of records with a date value in the OBSERVATION_PERIOD_START_DATE field of the OBSERVATION_PERIOD table that occurs prior to birth. (Threshold=1%).,12.00%
FAIL,DRUG_EXPOSURE,DAYS_SUPPLY,plausibleValueHigh,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the DAYS_SUPPLY field of the DRUG_EXPOSURE table greater than 365. (Threshold=1%).,11.37%
FAIL,OBSERVATION_PERIOD,OBSERVATION_PERIOD_START_DATE,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the OBSERVATION_PERIOD_START_DATE field of the OBSERVATION_PERIOD table less than '19500101'. (Threshold=1%).,10.19%
PASS,OBSERVATION,VALUE_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VALUE_SOURCE_VALUE of the OBSERVATION. (Threshold=100%).,7.90%
PASS,MEASUREMENT,UNIT_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the UNIT_SOURCE_VALUE of the MEASUREMENT. (Threshold=100%).,6.07%
PASS,MEASUREMENT,VALUE_SOURCE_VALUE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VALUE_SOURCE_VALUE of the MEASUREMENT. (Threshold=100%).,5.83%
PASS,CONDITION_OCCURRENCE,VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_DETAIL_ID of the CONDITION_OCCURRENCE. (Threshold=100%).,3.74%
PASS,CONDITION_OCCURRENCE,VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VISIT_OCCURRENCE_ID of the CONDITION_OCCURRENCE. (Threshold=100%).,3.74%
PASS,DRUG_EXPOSURE,VERBATIM_END_DATE,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the VERBATIM_END_DATE of the DRUG_EXPOSURE. (Threshold=100%).,3.72%
PASS,DRUG_EXPOSURE,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the DRUG_EXPOSURE table (Threshold=95%).,2.76%
PASS,DRUG_ERA,None,measurePersonCompleteness,Completeness,None,TABLE,None,The number and percent of persons in the CDM that do not have at least one record in the DRUG_ERA table (Threshold=95%).,2.76%
PASS,CONDITION_OCCURRENCE,CONDITION_START_DATE,withinVisitDates,Plausibility,None,FIELD,None,The number and percent of records not within one week on either side of the corresponding visit occurrence start and end date (Threshold=5%).,1.73%
FAIL,DEATH,DEATH_DATE,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the DEATH_DATE field of the DEATH table less than '19500101'. (Threshold=1%).,1.40%
FAIL,DEATH,DEATH_DATETIME,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the DEATH_DATETIME field of the DEATH table less than '19500101'. (Threshold=1%).,1.40%
PASS,VISIT_DETAIL,PRECEDING_VISIT_DETAIL_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the PRECEDING_VISIT_DETAIL_ID of the VISIT_DETAIL. (Threshold=100%).,1.26%
PASS,VISIT_OCCURRENCE,PRECEDING_VISIT_OCCURRENCE_ID,measureValueCompleteness,Completeness,None,FIELD,None,The number and percent of records with a NULL value in the PRECEDING_VISIT_OCCURRENCE_ID of the VISIT_OCCURRENCE. (Threshold=100%).,1.26%
FAIL,DEVICE_EXPOSURE,DEVICE_EXPOSURE_START_DATE,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the DEVICE_EXPOSURE_START_DATE field of the DEVICE_EXPOSURE table less than '19500101'. (Threshold=1%).,1.24%
FAIL,DEVICE_EXPOSURE,DEVICE_EXPOSURE_START_DATETIME,plausibleValueLow,Plausibility,Atemporal,FIELD,None,The number and percent of records with a value in the DEVICE_EXPOSURE_START_DATETIME field of the DEVICE_EXPOSURE table less than '19500101'. (Threshold=1%).,1.24%
